Trajectory: 2641 points, duration 41.06s

pt 0000 t=0.000s  j1=0.0000(v=0.0000)  j2=0.0000(v=0.0000)  j3=0.0000(v=0.0000)  j4=0.0000(v=0.0000)  j5=0.0000(v=0.0000)  j6=0.0000(v=0.0000)
pt 0001 t=0.815s  j1=0.0006(v=0.0027)  j2=-0.0003(v=-0.0007)  j3=-0.0039(v=-0.0100)  j4=-0.1676(v=-0.2570)  j5=0.0037(v=0.0096)  j6=0.1676(v=0.2570)
pt 0002 t=1.068s  j1=0.0018(v=0.0052)  j2=-0.0006(v=-0.0011)  j3=-0.0077(v=-0.0152)  j4=-0.2456(v=-0.2448)  j5=0.0074(v=0.0149)  j6=0.2456(v=0.2448)
pt 0003 t=1.315s  j1=0.0032(v=0.0083)  j2=-0.0008(v=-0.0014)  j3=-0.0115(v=-0.0212)  j4=-0.2904(v=-0.1968)  j5=0.0111(v=0.0213)  j6=0.2904(v=0.1967)
pt 0004 t=1.452s  j1=0.0047(v=0.0109)  j2=-0.0011(v=-0.0017)  j3=-0.0152(v=-0.0266)  j4=-0.3194(v=-0.1783)  j5=0.0149(v=0.0271)  j6=0.3194(v=0.1782)
pt 0005 t=1.593s  j1=0.0062(v=0.0151)  j2=-0.0013(v=-0.0021)  j3=-0.0189(v=-0.0354)  j4=-0.3398(v=-0.1644)  j5=0.0187(v=0.0364)  j6=0.3397(v=0.1641)
pt 0006 t=1.675s  j1=0.0078(v=0.0198)  j2=-0.0015(v=-0.0026)  j3=-0.0226(v=-0.0455)  j4=-0.3548(v=-0.1662)  j5=0.0224(v=0.0471)  j6=0.3548(v=0.1658)
pt 0007 t=1.753s  j1=0.0094(v=0.0197)  j2=-0.0017(v=-0.0024)  j3=-0.0262(v=-0.0445)  j4=-0.3664(v=-0.1285)  j5=0.0262(v=0.0463)  j6=0.3663(v=0.1280)
pt 0008 t=1.837s  j1=0.0110(v=0.0230)  j2=-0.0019(v=-0.0025)  j3=-0.0298(v=-0.0513)  j4=-0.3756(v=-0.1171)  j5=0.0299(v=0.0538)  j6=0.3755(v=0.1165)
pt 0009 t=1.897s  j1=0.0126(v=0.0300)  j2=-0.0021(v=-0.0030)  j3=-0.0334(v=-0.0662)  j4=-0.3831(v=-0.1257)  j5=0.0337(v=0.0698)  j6=0.3829(v=0.1248)
pt 0010 t=1.946s  j1=0.0142(v=0.0347)  j2=-0.0023(v=-0.0032)  j3=-0.0369(v=-0.0758)  j4=-0.3893(v=-0.1216)  j5=0.0375(v=0.0804)  j6=0.3891(v=0.1205)
